package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Incredible Gujarat Temple and Wildlife Tour,"dwarka ,   somnath ,   diu ,   sasan gir",4,5,8500.0
Delightful Diu with Gir Safari Package,"sasangir  ,   diu",4,5,19500.0
"8 Days Gujarat Tour Package: Diu, Gir, Somnath & More","ahmedabad ,   bhavnagar ,   sasan gir ,   diu ,   somnath ,   dwarka ,   rajkot",7,8,13000.0
"Diu Tour Package with Somnath, Dwarka & More","ahmedabad ,   dwarka ,   somnath ,   diu ,   junagadh",5,6,17650.0
"A Week in Gujarat: Diu, Dwarka, Jamnagar & More","ahmedabad ,   jamnagar ,   dwarka ,   somnath ,   diu ,   sasan gir",6,7,11400.0
Statue of Unity Deluxe Package with Vadodara Sightseeing,vadodara,2,3,6500.0
Ahmedabad Vadodara Twin City Tour Package,"ahmedabad ,   vadodara",3,4,14500.0
"Gujarat Darshan Package: Dwarka, Somnath, Vadodara & More","ahmedabad ,  dwarka ,  somnath ,  sasan gir ,  vadodara",5,6,19000.0
Statue of Unity Tour Package with Cultural Ahmedabad,"ahmedabad ,   vadodara",3,4,14500.0
Ahmedabad Dwarka Somnath Tour Package with Diu Island,"ahmedabad ,   dwarka ,  somnath ,  diu ,  ahmedabad",5,6,18500.0
Mount Abu Holiday Package from Ahmedabad,"ahmedabad ,   mount abu",3,4,12000.0
"Sizzling Kutch, Bhuj and Rajkot","ahmedabad ,   kutch ,   bhuj ,   hodka ,   mandvi ,   rajkot",7,8,36000.0
"Unforgettable Somnath, Ahmedabad, Jamnagar & More","ahmedabad ,  jamnagar ,  dwarka ,  somnath ,  sasan gir ,  diu ,  bhavnagar",7,8,25000.0
"Panoramic Ahmedabad, Bhavnagar & More","ahmedabad ,  bhavnagar ,  diu ,  sasan gir ,  ahmedabad",6,7,21000.0
"Jewels of Gujarat - Somnath, Ahmedabad, Bhavnagar & More","ahmedabad ,  bhavnagar ,  diu ,  somnath ,  dwarka ,  rajkot",7,8,23000.0
Rann Utsav Tour Package with Heritage Bhuj and Dholavira,"bhuj ,   hodka",4,5,24633.0
Great Rann of Kutch with Wonders of Gujarat,"ahmedabad ,   kutch ,   bhuj ,   hodka ,   mandvi ,   rajkot",7,8,36000.0
Rann of Kutch - Full Moon Night Package,kutch,2,3,12999.0
Rann of Kutch - Glamping in Luxury Package,kutch,3,4,22000.0
Rann Utsav Package,kutch,2,3,16000.0
Colours of Rann Utsav Experience Package,kutch,2,3,11500.0
2N Rann Utsav,kutch,2,3,9000.0
1N Rann Utsav,kutch,1,2,5000.0
Rann of Kutch Tour Package,kutch,2,3,15000.0
Striking North India Tour in 20 Days,"delhi ,   rohtak ,   alsisar ,   jhalamand ,   khejarla ,   udaipur ,   bundi ,   ranthambore ,   orchha ,  khajuraho ,   allahabad ,   varanasi ,   lucknow",18,19,99000.0
3 Night 4 Days Kullu Manali Tour by Cab for Families,"delhi ,   manali",3,4,19250.0
Best Manali Tour Package with Shimla,"delhi ,   manali ,   shimla",5,6,25500.0
Magical Manali Tour Package for 4 Nights 5 Days,manali,4,5,8500.0
Shimla Manali Dharamshala Dalhousie Tour Package 7 Nights 8 Days,"dalhousie ,  dharamshala ,   manali ,   shimla",7,8,20000.0
Manali Tour Package - Trip to Solang Valley,manali,2,3,11000.0
Manali Volvo Tour Package - Excursion to Solang Valley,"delhi ,   manali ,   kullu",3,4,15999.0
4 Night 5 Days Shimla Manali Package,"delhi ,   shimla ,   kufri ,   mashobra ,   shimla ,   kullu ,   manali",4,5,17999.0
