package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Manali Kasol Tour Package - Night Camping,"delhi ,   manali ,   kasol",4,5,17400.0
Relaxing Manali Getaway for 4 Nights - Rohtang Pass,manali,4,5,20999.0
Manali Tour Package with Kullu stay,"manali ,  kullu",4,5,15999.0
Shimla Manali Tour Package,"shimla ,   manali",5,6,13000.0
5 Nights 6 Days Shimla Manali Package from Chandigarh,"chandigarh ,  shimla ,  manali",5,6,20250.0
Manali Shimla Tour Package for Couple - Professional Photoshoot Included,"delhi ,   shimla ,   manali",5,6,27500.0
"Himachal Pradesh Itinerary: Dalhousie, Dharamshala, Shimla & Manali","shimla  ,   manali  ,   dharamshala  ,   mcleodganj ,   dalhousie",8,9,43500.0
Leh Ladakh Summer Package with Turtuk and Pangong Tso,"manali ,   sarchu ,   leh ,   nubra valley ,   pangong lake ,   rumtse ,   jispa ,   manali",9,10,49250.0
Himalayan Family Tour Package with Villa Stay,"pathankot ,   dalhousie ,   manali ,   kasol ,   shimla ,   mashobara",7,8,33500.0
Himachal Tour Packages from Delhi by Volvo,"delhi ,   manali ,   kullu ,   shimla ,   kufri",6,7,30900.0
Summer Manali Vacation Package with Spiti Valley,"chandigarh ,   shimla ,   sangla ,   kalpa ,   tabo ,   kaza ,   manali",7,8,40500.0
9 Nights 10 Days Manali Package with Shilmla and Dalhousie,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,45000.0
Manali Family Trip,"manali ,   kullu",3,4,14800.0
Best Manali Tour Packages From Delhi,"delhi ,   manali ,   kullu ,   naggar",3,4,12800.0
Shimla Manali Rohtang Tour Package,"pathankot ,   dalhousie ,   manali ,   kasol ,   kufri ,   mashobra ,   shimla",7,8,33500.0
Manali Rohtang Tour Package,"manali ,   kullu ,   naggar",3,4,11500.0
7 Days Shimla Dharamshala Manali Tour Package,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie",6,7,29999.0
6 Night 7 Days Manali Package - Luxury Tour,"shimla ,   manali ,   kullu",6,7,29000.0
Manali Camping Package with Kasol - 4 Nights 5 Days,"delhi ,   manali ,   kasol ,   kheerganga ,   tosh",4,5,20876.0
Shimla Kullu Manali Dalhousie Dharamshala Tour Package,"delhi ,   shimla ,   kullu ,   manali ,   dharamshala ,   dalhousie",8,9,44000.0
Shimla Manali Dalhousie Amritsar Tour Package - 9 Nights 10 Days,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,47999.0
Best Spiti Valley Tour Packages - Budget Friendly,"manali ,   kaza",4,5,22599.0
Kinnaur Spiti Tour Package,"chandigarh ,   sarahan ,   sangla ,   kalpa ,   dhankar ,   kaza ,   chandartal ,   manali",8,9,50900.0
4 Nights 5 Days Shimla Kullu Manali Honeymoon Package,"shimla ,   kullu  ,   manali",4,5,19999.0
Exotic Jibhi & Manali Tour Package,"jibhi ,   manali",5,6,22850.0
Agra Family Tour Package with Shimla Manali,"shimla ,   manali ,   delhi ,   agra",7,8,35999.0
Shimla Manali Dharamshala Tour Package,"delhi ,   shimla ,    solang valley ,   manali ,    dharamshala ,   khajjiar ,   dalhousie",6,7,26450.0
Shimla Kullu Manali Tour Package,"delhi ,   shimla ,   kullu ,   manali",5,6,13099.0
Shimla Manali Package with Toy Train Ride,"chandigarh ,   manali ,   shimla",4,5,12400.0
Supersaver Shimla Tour Package,"delhi ,  overnight bus ,   shimla ,   kufri",3,4,14000.0
Manali Tour Package From Shimla with Amritsar,"shimla ,  manali ,  amritsar",7,8,33999.0
Shimla Manali Tour Package From Bangalore,"bangalore ,   kasauli ,   shimla ,   manali",7,8,33499.0
6 Nights Himachal Tour Package with Triund Trek,"shimla ,   manali ,   mcleodganj",6,7,30000.0
Shimla Itinerary 3 Days - Relaxing Family Package,"shimla ,   kufri ,   chail",2,3,11750.0
Himachal Pradesh Tour Packages from Chandigarh,"chandigarh  ,   shimla ,   kasauli",3,4,14500.0
Exotic Kinnaur with Shimla Tour Package,"chandigarh ,   shimla ,   sangla ,   kalpa",5,6,25700.0
Shimla Manali Dharamshala Dalhousie Tour Package - Day trip to Khajjiar,"shimla ,   kullu ,   manali ,  dharamshala ,  dalhousie ,   amritsar",10,11,50000.0
Shimla Tour Package From Chandigarh,"chandigarh ,   shimla ,   kufri",2,3,11805.0
Shimla Manali Honeymoon Package Tour Duration 5 Nights 6 Days,"chandigarh ,   shimla ,   manali",5,6,25300.0
Shimla Honeymoon Package for Couples,"delhi(0) ,   shimla",4,5,13950.0
Best Shimla Manali Tour Package by Volvo,"delhi ,   shimla ,   kullu ,   manali",4,5,21000.0
Bangalore to Himachal Pradesh Tour Packages,"bangalore ,   shimla ,   kufri ,   manali ,   solang ,   chandigarh",6,7,30898.0
Shimla Manali Tour Package for Couple - Professional Photoshoot Included,"delhi ,   shimla ,   manali",5,6,27500.0
Best Tour Package of Himachal and Amritsar,"chandigarh ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,48000.0
Romantic Kullu Manali Shimla Volvo Tour Package,"delhi ,   manali ,   kullu ,   shimla",6,7,31500.0
"10 Nights Jaipur Tour with Agra, Manali and Amritsar","jaipur ,  delhi ,  shimla ,  manali ,  dharamshala ,  amritsar",10,11,51000.0
Grand North India Tour Package,"jaipur ,   delhi ,   shimla ,   manali ,   dharamshala ,   amritsar",10,11,40000.0
"8 Nights 9 Days Himachal Package: Shimla, Manali, Dalhousie & More","delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie",8,9,44200.0
Best of Himachal Offbeat Destinations Tour Package,"chandigarh ,   shimla ,   sangla ,   kalpa ,   sarahan ,   shimla",6,7,31700.0
Shimla Kullu Manali 6 Night 7 Days Holiday Package,"chandigarh ,   shimla ,   kullu ,   manali",6,7,31799.0
Shimla Manali Honeymoon Package Tour Duration 5 Nights 6 Days,"delhi ,   shimla ,   manali",5,6,22000.0
Magical Shimla Dharamshala Holiday Package for 5 Nights,"shimla ,   dharamshala",5,6,25800.0
Delhi Agra Shimla Manali Tour Package: Offbeat Tour by Car,"delhii ,   shimla ,   manali ,   agra",7,8,34999.0
Shimla Honeymoon Package by AC Volvo,"delhi ,   shimla",3,4,14500.0
Majestic Himalayas Honeymoon Special Package,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,51500.0
Shimla Tour Package 2 Nights 3 Days for Couples,"chandigarh ,   shimla ,   kufri ,   mashobra(0) ,   naldehra ,   shimla",2,3,11000.0
Adventurous North India Tour,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   chandigarh",9,10,53499.0
Delhi to Shimla Tour Package by Train,"delhi ,   shimla ,   kufri",3,4,14999.0
Kasol 4 Day Itinerary by Volvo with Trek to Malana,"delhi ,   kasol",3,4,14780.0
Kasol 3 Day Trip with Kheerganga Trek,"kasol ,   kheerganga",2,3,12800.0
Spirited Kasol and  Manali Trip,"delhi ,   kasol ,   kheerganga ,   manikaran ,   manali",4,5,17400.0
Kasol Tour Package with Jibhi,"manali ,   kasol ,   jibhi",4,5,19190.0
Kasol 2 Night 3 Days Itinerary: Delhi to Kasol by Volvo,"delhi ,   kasol",2,3,11599.0
Best Budget Kasol and Manali package Tour,"manali  ,   kasol",5,6,25624.0
Budget Kasol Tour Package,"delhi ,   kasol ,   kheerganga",3,4,11999.0
Kasol Tour Itinerary: Trekking and Camping,"delhi ,   bhuntar ,   kasol ,   tosh  ,   kheerganga ,   kasol",4,5,18200.0
Mystic Kasol Trip with Kheerganga & Tosh Trek and Manali,"manali  ,   kasol",6,7,31500.0
"Charms of Kasol, Kullu, Manali and Shimla","shimla ,  kullu ,  manali ,  kasol",7,8,36500.0
Kasol Kheerganga Tour Package - 3 Nights 4 Days,"delhi ,   kasol ,   kheerganga",3,4,14430.0
"Himalayan Budget - Kasol, Manali Dalhousie and More","kasol  ,   manali  ,   dalhousie  ,   dharamshala",8,9,40026.0
Majestic Himalayas Honeymoon Special Package,"pathankot ,   dalhousie ,   manali ,   kasol ,   shimla",7,8,35500.0
Kasol and Rasol Trek Experience,"delhi  ,   overnight bus ,   kasol",3,4,12190.0
Holiday Trip to Dubai and India with Kasol Camping,"dubai ,   delhi ,   kasol ,   kheerganga ,   delhi",6,7,45900.0
Extensive Himachal & Uttarakhand Tour,"delhi ,   haridwar(2n ) ,   chandigarh ,   kasol ,   tosh ,    prashar lake ,   barot ,    dharamshala ,   dalhousie ,   amritsar",12,13,53500.0
"Adventurous Honeymoon in Manali, Tosh, Kheerganga & Malana","manali  ,   kasol",6,7,23500.0
Amazing Honeymoon in Kasol with Chalal Trek,"delhi ,   kasol ,   kheerganga",3,4,13999.0
Kasol-Kheerganga Honeymoon Package for Adventure Couple,"delhi ,   bhuntar ,   kasol ,   tosh  ,   kheerganga ,   kasol",4,5,16200.0
Kasol Valley Honeymoon Package with Exotic Manali,"delhi ,   manali ,   kasol ,   kheerganga ,   tosh",4,5,18299.0
Kullu Manali Honeymoon Tour Package - Camping,"delhi ,   manali ,  kullu ,   kasol",3,4,11400.0
Amazing Kasol Honeymoon with Kheerganga Trek,"kasol ,   kheerganga",2,3,10500.0
"Majestic Himalayas Honeymoon Package with Manali, Kasol & More","pathankot ,   dalhousie ,   manali ,   kasol ,   shimla",7,8,32500.0
Charming Kasol Manali Deluxe Honeymoon Special Package,"delhi ,   manali ,   kasol",3,4,14800.0
Idyllic Kasol Honeymoon Package with Camping,"delhi ,   kasol",2,3,9999.0
"Majestic Himalayas Honeymoon Special: Dalhousie, Khajjiar, Manali & More","pathankot ,   dalhousie ,   manali ,   kasol ,   shimla",7,8,18500.0
Magical Kasol with Shimla,"shimla ,  kasol",4,5,10000.0
Dharmshala Himachal Pradesh Tour Packages,"delhi ,   dharamshala ,   mcleodganj ,    dalhousie",3,4,14500.0
Weekend Getaway to Mcloedganj (Luxury Volvo Package),"delhi ,   mcleodganj",2,3,10800.0
4 Nights 5 Days Dharamshala Itinerary with Mcleodganj and Bir,"dharamshala ,   mcleodganj ,   bir",4,5,18000.0
"Majestic Mcleodganj, Dalhousie & Amritsar","mcleodganj ,  dalhousie ,  amritsar",5,6,20500.0
Triund Trek Package from Mcleodganj,"mcleodganj ,   triund",1,2,4000.0
Dreamy Dharamshala & Mcleodganj Holiday Package,"delhi ,   dharamshala ,   mcleodganj",2,3,11500.0
3 Nights Dharamshala Family Tour Package,"pathankot ,   dharamshala ,   mcleodganj ,   dharamshala",3,4,13999.0
Magical Mcleodganj Tour Package from Delhi,"delhi ,   dharamshala ,   mcleodganj  ,   dalhousie ,   khajjiar",4,5,20299.0
Mcleodganj and Dalhousie Family Tour from Amritsar,"amritsar ,   mcleodganj ,   dalhousie ,   amritsar",6,7,30500.0
Divine Vaishno Devi and Dharamshala Tour,"jammu ,   katra ,   dharamshala ,   dalhousie",5,6,23999.0
"Adventure Angling, Trekking, Camping Tour from Mcleodganj","mcleodganj  ,   bir  ,   banjar valley ,   jalori pass ,   jibhi",6,7,39900.0
Kareri Lake Trek Package with Mcleodganj Sightseeing,"dharamshala ,   kareri lake",2,3,12700.0
Explore Himalaya Trekking Tour Package,"pathankot ,   sali village ,   harnala river camp ,   rawa ,   bahl village",4,5,19399.0
2 Days Trek in Himachal - Mcleodganj Triund Trek,"mcleodganj ,   triund",1,2,9000.0
"Glorious Mcleodganj, Shimla & Manali with Triund","shimla ,  manali ,  mcleodganj ,  triund ,  mcleodganj",6,7,18000.0
Fascinating Mcleodganj & Dalhousie,"mcleodganj ,  dalhousie",4,5,15000.0
"Wonderful Mcleodganj, Shimla & Chandigarh","shimla ,  mcleodganj ,  chandigarh",5,6,15499.0
Alluring Mcleodganj & Shimla,"shimla ,  mcleodganj",4,5,12000.0
"Mesmerising Mcleodganj, Shimla & Dalhousie","shimla ,  mcleodganj ,  dalhousie",5,6,17000.0
"Grand North India Tour - Mcleodganj, Shimla, Dalhousie and More","shimla  ,   manali  ,   mcleodganj  ,   dalhousie  ,   amritsar",9,10,31573.0
"Best of Himachal - Mcleodganj, Manali and Shimla Package","shimla  ,   manali  ,   mcleodganj",6,7,21324.0
"Honeymoon Special Mcleodganj, Shimla & Manali","shimla ,  manali ,  mcleodganj",6,7,15000.0
"Exciting Bir, Dharamshala and Mcleodganj","dharamshala ,  mcleodganj ,  bir",4,5,10000.0
Unforgettable Romance in Mcleodganj Honeymoon Package,"delhi ,   mcleodganj",2,3,6199.0
"Mcleodganj, Dalhousie, Amritsar Honeymoon Package (Photoshoot Included)","amritsar ,   mcleodganj ,   dalhousie ,   amritsar",6,7,19500.0
Dharamshala Mcleodganj Bir Adventure Package for Couple,"dharamshala ,   mcleodganj ,   bir",4,5,12999.0
Weekend Getaway to Kasauli Tour Package Ex Delhi,"delhi ,   kasauli",2,3,10000.0
Kasauli Packages From Chandigarh,"chandigarh ,  kasauli",4,5,20000.0
Kasuali Short Honeymoon Tour,"delhi ,   kasauli",2,3,10800.0
Kasauli Group Tour Package from Delhi,"delhi  ,   kasauli",2,3,9999.0
Captivating Kasauli Tour,kasauli,3,4,11300.0
Long Weekend Kasauli Trip,kasauli,2,3,8900.0
"Mesmerizing Kasauli, Chandigarh and Shimla by Car","chandigarh ,  kasauli ,  shimla",5,6,19000.0
Serene Kasauli and Shimla Package,"kasauli ,  shimla",4,5,16000.0
Sensational Kasauli and Shimla and Resort Package,"shimla ,  kasauli",4,5,27000.0
Romantic Kasauli Honeymoon Package,kasauli,3,4,12000.0
Sighseeing Super Saver Kasauli Package,kasauli,2,3,10000.0
Delightful Kasauli and Shimla Vacation,"shimla ,  kasauli ,  shimla",4,5,15500.0
"Honeymoon in Paradise : Kasauli, Shimla & Manali","chandigarh  ,   kasauli ,   shimla ,   manali",7,8,25500.0
Short Honeymoon Getaway to Kasauli,"delhi ,   kasauli",2,3,9000.0
Magical Kasauli Shimla Manali 3 Star Honeymoon Package,"chandigarh  ,   kasauli ,   shimla ,   manali",7,8,27500.0
Magical Kasauli Shimla Manali Super Deluxe Honeymoon Package,"chandigarh  ,   kasauli ,   shimla ,   manali",7,8,33500.0
Beautiful Kasauli Shimla Manali Tour Package,"chandigarh  ,   kasauli ,   shimla ,   manali",7,8,36500.0
Magical Kasauli Shimla Manali Family Package,"delhi ,   kasauli ,   shimla ,   manali",7,8,30499.0
Dharamshala Dalhousie Tour Package - Fun-Filled Tour,"amritsar ,   dalhousie ,   dharamshala",3,4,15000.0
Dalhousie Khajjiar Chamba Dharamshala Tour Package - 5 Nights 6 Days,"dharamshala ,   chamba ,   dalhousie ,   khajjiar",5,6,24999.0
Amritsar Dalhousie Dharamshala Tour Package: Family Edition,"amritsar ,   dalhousie ,   dharamshala",4,5,20000.0
Dalhousie Himachal Pradesh Tour Packages(Volvo Tickets Included),"delhi ,   dalhousie ,   khajjiar ,   delhi",2,3,10999.0
Dalhousie Tour Package for Couple with Dharamshala,"delhi ,   dharamshala ,   dalhousie ,   khajjiar ,   delhi",4,5,19500.0
Romantic Dharamshala Dalhousie Honeymoon Package with Chamba,"pathankot ,   dharamshala ,   chamba ,   dalhousie ,   khajjiar",5,6,24500.0
Dalhousie Tour with Khajjiar: Switzerland of India Package,"delhi ,   dalhousie ,   khajjiar",2,3,11499.0
Mcleodganj Dharamshala Deluxe Honeymoon Package,"delhi ,   dharamshala ,   khajjiar ,   dalhousie",3,4,13500.0
Relaxing Dalhousie Tour,"delhi ,   dalhousie ,   khajjiar",2,3,10800.0
Cheap Himachal Tour Package by Volvo,"delhi ,   dharamshala ,   mcleodganj  ,   dalhousie ,   khajjiar",4,5,20299.0
"Divine Dalhousie with Amritsar, Manali, Shimla and more","delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,45000.0
Dalhousie Tour Packages for Family with Amritsar,"pathankot ,   dharamshala ,   dalhousie ,   amritsar",5,6,23599.0
Dharamshala Dalhousie Honeymoon Package with Mcleodganj Sightseeing,"delhi ,   dharamshala ,   khajjiar ,   dalhousie ,   chamba",3,4,14500.0
Complete Western Himachal,"pathankot ,   dharamshala ,   dalhousie",5,6,25670.0
Dalhousie & Amritsar Family Tour Package,"dalhousie ,   khajjiar ,   amritsar",4,5,20500.0
Himachal Pradesh 7 Day Itinerary,"chandigarh ,   manali ,   palampur ,   dalhousie ,   chamba",6,7,26500.0
Adventurous Katra and Dharamshala Tour,"jammu ,   katra ,   dharamshala ,   dalhousie",5,6,23999.0
Dalhousie Tour Package with Amritsar & Manali - Excursion to Solang Valley,"manali ,   dharamshala  ,   dalhousie  ,   amritsar",7,8,36750.0
Senior Citizen Travel Package -  Dalhousie and Amritsar,"dalhousie ,   amritsar",4,5,19000.0
Vaishno Devi and Best of Himachal Tour,"jammu  ,  katra ,  dalhousie ,  dharamshala ,  manali ,   delhi",7,8,30900.0
Best Himachal Pradesh Tour Packages,"delhi(0) ,   shimla ,   manali ,   kullu ,   dharamshala ,   dalhousie ,   amritsar",9,10,47000.0
Delhi Amritsar Package Trip Including Dharamshala & Palampur,"delhi ,   dharamshala ,   dalhousie ,   amritsar",6,7,30200.0
Best of Himachal and Amritsar,"chandigarh ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,48000.0
Dharamshala & Dalhousie Tour Package,"dalhousie ,  dharamshala ,   palampur",4,5,20500.0
Exciting Dharamshala & Dalhousie 5 Nights Tour,"dharamshala ,   dalhousie",5,6,21500.0
Beautiful Vacation Package including Dharamshala and Dalhousie,"delhi ,   dharamshala ,   dalhousie",5,6,23600.0
Supersaver Himachal and Chandigarh Combo Tour for 7 Nights,"dalhousie ,  dharamshala ,  manali ,   chandigarh",7,8,31000.0
Experience the Best of Himachal including Manali,"dharamshala ,   dalhousie ,   manali",6,7,36494.0
"Romantic Khajjiar, Dalhousie, Dharamshala Honeymoon Tour","delhi ,   dharamshala ,   khajjiar ,   dalhousie",3,4,7500.0
Love in Khajjiar Luxury Honeymoon Package,"delhi ,   dalhousie ,   khajjiar",2,3,22800.0
Magical Mcleodganj Dharamshala Honeymoon with Dalhousie,"delhi ,   dharamshala ,   mcleodganj  ,   dalhousie ,   khajjiar",4,5,10699.0
"Honeymoon in Himachal Package: Shimla, Manali, Dalhousie & More","delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,23000.0
Exciting Manali and Dalhousie Family Trip in 7 Days,"chandigarh ,   manali ,   palampur ,   dalhousie ,   chamba",6,7,27500.0
Idyllic Himachal Honeymoon Tour Package,"delhi ,   shimla ,    manali ,    dharamshala ,    dalhousie",6,7,19450.0
Intimate Dharamshala Dalhousie Honeymoon Package with Palampur,"delhi ,   dharamshala ,   dalhousie ,   amritsar",6,7,28999.0
Beautiful Manali and Kullu Tour Package,"manali ,  kullu",4,5,15999.0
Romantic Kullu Manali Budget Honeymoon Package,"volvo bus ,   manali ,   manikaran sahib ,   kullu ,   volvo bus",5,6,25499.0
Kullu Manali Honeymoon Delight Holiday Package,"manali ,   kullu",4,5,25500.0
Kullu Manali Shimla Special with Kasol,"shimla ,  kullu ,  manali ,  kasol",7,8,36500.0
"Captivating Kullu, Manali & Shimla","manali ,  kullu ,  shimla",6,7,16000.0
"Incredible Chail, Manali & Delhi","delhi ,  chail ,  manali",6,7,17000.0
"Charms of Chail, Shimla and Kufri","shimla ,  kufri ,  chail ,  shimla",6,7,15500.0
Cheapest Shimla Tour Package - 4 Nights 5 Days,"shimla ,  kufri ,  chail",4,5,14000.0
Dalhousie Khajjiar Tour Package - 2 Nights 3 Days,"delhi ,   dalhousie ,   khajjiar",2,3,11499.0
Honeymoon in Khajjiar Package with Dalhousie Dharamshala,"delhi ,   dharamshala ,   khajjiar ,   dalhousie ,   chamba",3,4,14500.0
"Quintessential Dalhousie, Dharamshala & Khajjiar Tour Package","delhi ,   dharamshala ,   mcleodganj  ,   dalhousie ,   khajjiar",4,5,20299.0
"Majestic Himalayas Family Tour: Khajjiar, Dalhousie, Manali, & More","pathankot ,   dalhousie ,   manali ,   kasol ,   kufri ,   mashobra ,   shimla",7,8,33500.0
Best Family Package of Himachal and Amritsar,"chandigarh ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,48000.0
Relaxing Retreat to Dalhousie & Dharamshala with Khajjiar,"dharamshala ,   chamba ,   dalhousie ,   khajjiar",5,6,24999.0
Classic Dalhousie Khajjiar Tour Package,"delhi ,   dalhousie ,   khajjiar",2,3,10800.0
9 Nights 10 Days Himachal Package,"delhi ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,45000.0
"Dalhousie, Khajjiar & Dharamshala Honeymoon Package","dalhousie ,  khajjiar ,  dalhousie ,  dharamshala",5,6,17999.0
Best-Selling Khajjiar and Dalhousie,"dalhousie ,  khajjiar ,  dalhousie",4,5,12000.0
Heavenly Kufri Tour Package with Shimla & Chail,"shimla ,  kufri ,  chail",4,5,14000.0
Honeymoon Escapade to Manali & Shimla with Kufri,"bangalore ,   shimla ,   kufri ,   manali ,   solang ,   chandigarh",6,7,30898.0
Shimla Kufri Tour Package from Delhi by Volvo,"delhi ,   shimla ,   kufri  ,   mashobra",3,4,15000.0
Weekend Getaway to Shimla with Day Trip to Kufri,"chandigarh ,   shimla ,   kufri",2,3,11805.0
Majestic Himalayas Family Tour (Kufri Included),"pathankot ,   dalhousie ,   manali ,   kasol ,   kufri ,   mashobra ,   shimla",7,8,33500.0
Short Shimla Kufri Trip by Volvo from Delhi,"delhi ,   shimla ,   kufri",3,4,14999.0
"Offbeat Himachal Trip :  Kaza, Kalpa and Sangla","kufri ,   sangla ,   kalpa ,   kaza ,   manali ,   chandigarh",6,7,29266.0
Long Weekend Special Kufri Tour Package with Shimla,"shimla ,  kufri",2,3,10500.0
Shimla Kufri Honeymoon Special,"shimla ,  kufri",4,5,12000.0
Serene Shimla and Kufri,"shimla ,  kufri",4,5,13000.0
Weekend Exclusive Tour Package to Tirthan Valley,"delhi ,   aut ,   larji",3,4,15950.0
5 Nights 6 Days Tirthan Valley Tour Package with Manali,"delhi ,   manali ,   tirthan valley",5,6,24800.0
Charismatic Tirthan Valley,tirthan valley,4,5,12500.0
Magical Tirthan Valley,tirthan valley,3,4,6000.0
Splendors of Tirthan Valley,tirthan valley,5,6,15000.0
"Serene Tirthan Valley, Shimla and Narkanda","shimla ,  narkanda ,  tirthan",6,7,16500.0
Unexplored Tirthan Valley Honeymoon Special Package,"delhi ,   manali ,   tirthan valley",5,6,19800.0
