package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
stunning andaman tour package from hyderabad,beach_holiday,port blair,2,medium trip,3,4,budget,budget hotel,14500.0,"['port', 'blair']","['Stunning', 'Andaman', 'Tour', 'Package', 'from', 'Hyderabad']"
super saver delhi agra jaipur varanasi tour package,holiday_package,"delhi ,   jaipur ,   agra ,   varanasi",4,medium trip,6,7,standard,3-star hotel,24000.0,"['delhi', 'jaipur', 'agra', 'varanasi']","['Super', 'Saver', 'Delhi', 'Agra', 'Jaipur', 'Varanasi', 'Tour', 'Package']"
delhi agra jaipur tour package 5 days with mathura,holiday_package,"delhi ,   mathura ,   agra ,   jaipur",4,medium trip,4,5,standard,3-star hotel,18100.0,"['delhi', 'mathura', 'agra', 'jaipur']","['Delhi', 'Agra', 'Jaipur', 'Tour', 'Package', '5', 'Days', 'with', 'Mathura']"
delhi mathura vrindavan agra tour package 3 days - sri krishna-balaram mandi,spiritual packages,"mathura ,  vrindavan  ,   agra",3,short trip,2,3,budget,low-cost apartment,9500.0,"['mathura', 'vrindavan', 'agra']","['Delhi', 'Mathura', 'Vrindavan', 'Agra', 'Tour', 'Package', '3', 'Days', 'Sri', 'KrishnaBalaram', 'Mandi']"
vacation package to agra & jaipur from delhi - visit taj mahal,holiday_package,"delhi ,   agra ,   jaipur",3,medium trip,5,6,standard,3-star hotel,19840.0,"['delhi', 'agra', 'jaipur']","['Vacation', 'Package', 'to', 'Agra', 'Jaipur', 'from', 'Delhi', 'Visit', 'Taj', 'Mahal']"
vrindavan & agra tour package - temple hopping,spiritual packages,"vrindavan ,   agra",2,short trip,2,3,budget,low-cost apartment,8000.0,"['vrindavan', 'agra']","['Vrindavan', 'Agra', 'Tour', 'Package', 'Temple', 'Hopping']"
agra lucknow & varanasi tour - boat ride on river ganges,holiday_package,"delhi ,   agra ,   lucknow ,   varanasi",4,medium trip,4,5,standard,3-star hotel,17650.0,"['delhi', 'agra', 'lucknow', 'varanasi']","['Agra', 'Lucknow', 'Varanasi', 'Tour', 'Boat', 'Ride', 'on', 'River', 'Ganges']"
vrindavan tour package including agra,spiritual packages,"vrindavan ,   agra",2,medium trip,3,4,budget,budget hotel,9500.0,"['vrindavan', 'agra']","['Vrindavan', 'Tour', 'Package', 'including', 'Agra']"
delhi sightseeing tour package: agra & ranthambhore national park,nature_package,"delhi ,   ranthambore ,   agra",3,medium trip,5,6,standard,3-star hotel,29800.0,"['delhi', 'ranthambore', 'agra']","['Delhi', 'Sightseeing', 'Tour', 'Package', 'Agra', 'Ranthambhore', 'National', 'Park']"
"pilgrimage & temple tour of india: agra, mathura & more",spiritual packages,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",6,long trip,8,9,premium,4-star hotel,32500.0,"['mathura', 'vrindavan', 'agra', 'delhi', 'haridwar', 'rishikesh']","['Pilgrimage', 'Temple', 'Tour', 'of', 'India', 'Agra', 'Mathura', 'More']"
delhi agra 2 days tour package - taj mahal,holiday_package,"delhi ,   agra",2,short trip,1,2,budget,low-cost apartment,10555.0,"['delhi', 'agra']","['Delhi', 'Agra', '2', 'Days', 'Tour', 'Package', 'Taj', 'Mahal']"
spiritual triangle of uttar pradesh - 3 nights,spiritual packages,"mathura ,   vrindavan ,   agra",3,medium trip,3,4,budget,budget hotel,12500.0,"['mathura', 'vrindavan', 'agra']","['Spiritual', 'Triangle', 'of', 'Uttar', 'Pradesh', '3', 'Nights']"
"up pilgrimage group tour package: varanasi, chitrakoot, ayodhya & more",spiritual packages,"allahabad ,   chitrakoot ,   varanasi ,   ayodhya ,   haridwar ,   mathura ,   vrindavan",7,long trip,10,11,premium,4-star hotel,40880.0,"['allahabad', 'chitrakoot', 'varanasi', 'ayodhya', 'haridwar', 'mathura', 'vrindavan']","['UP', 'Pilgrimage', 'Group', 'Tour', 'Package', 'Varanasi', 'Chitrakoot', 'Ayodhya', 'More']"
"royal heritage tour: agra, delhi, haridwar, & more",cultural_package,"delhi ,   haridwar ,   nainital ,   agra ,   jaipur",5,medium trip,6,7,standard,3-star hotel,21999.0,"['delhi', 'haridwar', 'nainital', 'agra', 'jaipur']","['Royal', 'Heritage', 'Tour', 'Agra', 'Delhi', 'Haridwar', 'More']"
"triple fun: delhi, agra and nepal tour package",holiday_package,"delhi ,   agra ,   kathmandu",3,medium trip,6,7,standard,3-star hotel,26500.0,"['delhi', 'agra', 'kathmandu']","['Triple', 'Fun', 'Delhi', 'Agra', 'And', 'Nepal', 'Tour', 'Package']"
delhi agra tour package 3 days -  excursion to rishikesh & haridwar,spiritual packages,"agra ,   delhi",2,short trip,2,3,budget,low-cost apartment,10000.0,"['agra', 'delhi']","['Delhi', 'Agra', 'Tour', 'Package', '3', 'Days', 'Excursion', 'to', 'Rishikesh', 'Haridwar']"
delhi agra mathura tour package: india golden triangle tour,holiday_package,"delhi ,   mathura ,   agra ,   jaipur",4,medium trip,6,7,standard,3-star hotel,26000.0,"['delhi', 'mathura', 'agra', 'jaipur']","['Delhi', 'Agra', 'Mathura', 'Tour', 'Package', 'India', 'Golden', 'Triangle', 'Tour']"
agra mathura vrindavan tour package - 3 nights 4 days,spiritual packages,"delhi ,   mathura ,   vrindavan ,   agra",4,medium trip,3,4,budget,budget hotel,12500.0,"['delhi', 'mathura', 'vrindavan', 'agra']","['Agra', 'Mathura', 'Vrindavan', 'Tour', 'Package', '3', 'Nights', '4', 'Days']"
"uttar pradesh trip- varanasi, allahabad, agra & lucknow",holiday_package,"delhi ,   agra ,   lucknow ,   ayodhya ,   allahabad ,   varanasi",6,medium trip,6,7,standard,3-star hotel,22000.0,"['delhi', 'agra', 'lucknow', 'ayodhya', 'allahabad', 'varanasi']","['Uttar', 'Pradesh', 'Trip', 'Varanasi', 'Allahabad', 'Agra', 'Lucknow']"
cultural tour of uttar pradesh - attend evening aarti,holiday_package,"varanasi(2n ) ,    allahabad ,    ayodhya(1n ) ,   lucknow(1n ) ,    agra",5,medium trip,6,7,standard,3-star hotel,23000.0,"['varanasi2n', 'allahabad', 'ayodhya1n', 'lucknow1n', 'agra']","['Cultural', 'Tour', 'of', 'Uttar', 'Pradesh', 'Attend', 'Evening', 'Aarti']"
manali tour with delhi and agra,holiday_package,"delhi ,   agra ,   manali",3,medium trip,5,6,standard,3-star hotel,25500.0,"['delhi', 'agra', 'manali']","['Manali', 'Tour', 'with', 'Delhi', 'and', 'Agra']"
mathura and vrindavan tour package: sacred & temple tour of india,spiritual packages,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",6,long trip,8,9,premium,4-star hotel,32500.0,"['mathura', 'vrindavan', 'agra', 'delhi', 'haridwar', 'rishikesh']","['Mathura', 'and', 'Vrindavan', 'Tour', 'Package', 'Sacred', 'Temple', 'Tour', 'of', 'India']"
delhi agra tour package - 3 nights 4 days,holiday_package,"delhi ,   agra ,   delhi",3,medium trip,3,4,budget,budget hotel,11840.0,"['delhi', 'agra', 'delhi']","['Delhi', 'Agra', 'Tour', 'Package', '3', 'Nights', '4', 'Days']"
varanasi holy ganges tour package with ganga aarti,holiday_package,varanasi,1,short trip,2,3,budget,low-cost apartment,6100.0,['varanasi'],"['Varanasi', 'Holy', 'Ganges', 'Tour', 'Package', 'with', 'Ganga', 'Aarti']"
experience varanasi tour package with sarnath,holiday_package,"delhi ,   varanasi",2,short trip,2,3,budget,low-cost apartment,7500.0,"['delhi', 'varanasi']","['Experience', 'Varanasi', 'Tour', 'Package', 'with', 'Sarnath']"
kashi yatra tour package,spiritual packages,varanasi,1,medium trip,3,4,budget,budget hotel,13500.0,['varanasi'],"['Kashi', 'Yatra', 'Tour', 'Package']"
kashi darshan tour package,spiritual packages,varanasi,1,short trip,2,3,budget,low-cost apartment,5877.0,['varanasi'],"['Kashi', 'Darshan', 'Tour', 'Package']"
spiritual and wellness tour package to india and sri lanka,spiritual packages,"rishikesh ,   varanasi ,   anuradhapura ,   kandy",4,long trip,10,11,luxury,5-star resort,87898.0,"['rishikesh', 'varanasi', 'anuradhapura', 'kandy']","['Spiritual', 'and', 'Wellness', 'Tour', 'Package', 'to', 'India', 'and', 'Sri', 'Lanka']"
spiritual splendors of uttar pradesh - 6 nights,spiritual packages,"varanasi ,   allahabad ,   ayodhya ,   lucknow ,   agra",5,medium trip,6,7,standard,3-star hotel,23000.0,"['varanasi', 'allahabad', 'ayodhya', 'lucknow', 'agra']","['Spiritual', 'Splendors', 'of', 'Uttar', 'Pradesh', '6', 'Nights']"
"spiritual journey: varanasi, prayagraj, and ayodhya",spiritual packages,"varanasi ,   prayagraj ,    ayodhya",3,medium trip,5,6,standard,3-star hotel,17950.0,"['varanasi', 'prayagraj', 'ayodhya']","['Spiritual', 'Journey', 'Varanasi', 'Prayagraj', 'and', 'Ayodhya']"
varanasi and ayodhya tour package,holiday_package,"varanasi ,   ayodhya",2,medium trip,3,4,budget,budget hotel,13500.0,"['varanasi', 'ayodhya']","['Varanasi', 'and', 'Ayodhya', 'Tour', 'Package']"
religious tour package for varanasi and ayodhya,spiritual packages,"varanasi ,   ayodhya",2,medium trip,4,5,standard,3-star hotel,19500.0,"['varanasi', 'ayodhya']","['Religious', 'Tour', 'Package', 'for', 'Varanasi', 'and', 'Ayodhya']"
"spiritual journey through uttar pradesh: ayodhya, prayagraj, and varanasi",spiritual packages,"ayodhya ,   prayagraj ,   varanasi",3,medium trip,6,7,standard,3-star hotel,24500.0,"['ayodhya', 'prayagraj', 'varanasi']","['Spiritual', 'Journey', 'Through', 'Uttar', 'Pradesh', 'Ayodhya', 'Prayagraj', 'and', 'Varanasi']"
"trip to ayodhya, prayagraj and varanasi - 5 nights 6 days",holiday_package,"varanasi ,   prayagraj ,   ayodhya ,  varanasi",4,medium trip,5,6,standard,3-star hotel,22500.0,"['varanasi', 'prayagraj', 'ayodhya', 'varanasi']","['Trip', 'to', 'Ayodhya', 'Prayagraj', 'and', 'Varanasi', '5', 'Nights', '6', 'Days']"
"uttar pradesh pilgrimage odyssey: varanasi, prayagraj, chitrakoot, and ayodhya exploration",spiritual packages,"varanasi ,   prayagraj ,   chitrakoot  ,   ayodhya ,  varanasi",5,medium trip,6,7,standard,3-star hotel,25500.0,"['varanasi', 'prayagraj', 'chitrakoot', 'ayodhya', 'varanasi']","['Uttar', 'Pradesh', 'Pilgrimage', 'Odyssey', 'Varanasi', 'Prayagraj', 'Chitrakoot', 'and', 'Ayodhya', 'Exploration']"
"ayodhya tour package with varanasi, prayagraj and lucknow",holiday_package,"varanasi ,   prayagraj ,   ayodhya ,  lucknow",4,medium trip,5,6,standard,3-star hotel,21500.0,"['varanasi', 'prayagraj', 'ayodhya', 'lucknow']","['Ayodhya', 'Tour', 'Package', 'with', 'Varanasi', 'Prayagraj', 'and', 'Lucknow']"
spiritual journey tour package of india and nepal,spiritual packages,"delhi ,   varanasi ,  kathmandu ,   pokhara  ,   chitwan ,   lumbini  ,   delhi",7,long trip,10,11,luxury,5-star resort,79000.0,"['delhi', 'varanasi', 'kathmandu', 'pokhara', 'chitwan', 'lumbini', 'delhi']","['Spiritual', 'Journey', 'Tour', 'Package', 'of', 'India', 'and', 'Nepal']"
uttar pradesh group tour package with boat ride in ganges,family_package,"allahabad ,   chitrakoot ,   varanasi ,   ayodhya ,   haridwar ,   mathura ,   vrindavan",7,long trip,10,11,premium,4-star hotel,45880.0,"['allahabad', 'chitrakoot', 'varanasi', 'ayodhya', 'haridwar', 'mathura', 'vrindavan']","['Uttar', 'Pradesh', 'Group', 'Tour', 'Package', 'with', 'Boat', 'Ride', 'in', 'Ganges']"
varanasi tour package including naimisharanya trip,holiday_package,"varanasi ,   allahabad ,   ayodhya ,   lucknow",4,medium trip,5,6,standard,3-star hotel,19000.0,"['varanasi', 'allahabad', 'ayodhya', 'lucknow']","['Varanasi', 'Tour', 'Package', 'Including', 'Naimisharanya', 'Trip']"
"uttar pradesh trip- varanasi, allahabad & chitrakoot",holiday_package,"varanasi ,   allahabad ,   varanasi",3,medium trip,5,6,standard,3-star hotel,19000.0,"['varanasi', 'allahabad', 'varanasi']","['Uttar', 'Pradesh', 'Trip', 'Varanasi', 'Allahabad', 'Chitrakoot']"
varanasi package covering chirkoot,holiday_package,"varanasi (1n) ,   allahabad  ,   chirkoot  ,   varanasi",5,medium trip,5,6,standard,3-star hotel,17500.0,"['varanasi', '1n', 'allahabad', 'chirkoot', 'varanasi']","['Varanasi', 'Package', 'Covering', 'Chirkoot']"
holy trail including ayodhya & varanasi,holiday_package,"varanasi ,   allahabad ,   ayodhya ,   varanasi",4,medium trip,5,6,standard,3-star hotel,19500.0,"['varanasi', 'allahabad', 'ayodhya', 'varanasi']","['Holy', 'Trail', 'Including', 'Ayodhya', 'Varanasi']"
"religious uttar pradesh tour: kashi, chitrakoot, lucknow & more",spiritual packages,"varanasi ,   allahabad ,   lucknow",3,medium trip,6,7,standard,3-star hotel,23000.0,"['varanasi', 'allahabad', 'lucknow']","['Religious', 'Uttar', 'Pradesh', 'Tour', 'Kashi', 'Chitrakoot', 'Lucknow', 'More']"
2 nights 3 days lucknow and ayodhya tour package,holiday_package,"lucknow ,   ayodhya",2,short trip,2,3,budget,low-cost apartment,10999.0,"['lucknow', 'ayodhya']","['2', 'Nights', '3', 'Days', 'Lucknow', 'and', 'Ayodhya', 'Tour', 'Package']"
pligrims special vrindavan mathura tour package by car,spiritual packages,"delhi ,   mathura ,   vrindavan",3,short trip,2,3,budget,low-cost apartment,10999.0,"['delhi', 'mathura', 'vrindavan']","['Pligrims', 'Special', 'Vrindavan', 'Mathura', 'Tour', 'Package', 'by', 'Car']"
pilgrimage & temple tour of india,spiritual packages,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",6,long trip,8,9,premium,4-star hotel,32500.0,"['mathura', 'vrindavan', 'agra', 'delhi', 'haridwar', 'rishikesh']","['Pilgrimage', 'Temple', 'Tour', 'of', 'India']"
vrindavan & mathura tour package,spiritual packages,"delhi ,   mathura ,   vrindavan",3,medium trip,3,4,budget,budget hotel,12999.0,"['delhi', 'mathura', 'vrindavan']","['Vrindavan', 'Mathura', 'Tour', 'Package']"
vrindavan and mathura tour package: sacred & temple tour of india,spiritual packages,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",6,long trip,8,9,premium,4-star hotel,32500.0,"['mathura', 'vrindavan', 'agra', 'delhi', 'haridwar', 'rishikesh']","['Vrindavan', 'and', 'Mathura', 'Tour', 'Package', 'Sacred', 'Temple', 'Tour', 'of', 'India']"
5-night holi package in india - colors of india,holiday_package,"delhi ,   mathura ,   jaipur",3,medium trip,5,6,premium,5-star hotel,38000.0,"['delhi', 'mathura', 'jaipur']","['5Night', 'Holi', 'Package', 'in', 'India', 'Colors', 'of', 'India']"
"holi package itinerary: delhi, vrindavan, mathura, jaipur",spiritual packages,"delhi ,   vrindavan ,   mathura ,   jaipur",4,medium trip,5,6,premium,5-star hotel,36000.0,"['delhi', 'vrindavan', 'mathura', 'jaipur']","['Holi', 'Package', 'Itinerary', 'Delhi', 'Vrindavan', 'Mathura', 'Jaipur']"
6-night holi package: delhi to agra,holiday_package,"delhi ,   vrindavan ,   mathura ,   agra",4,medium trip,6,7,premium,5-star hotel,38000.0,"['delhi', 'vrindavan', 'mathura', 'agra']","['6Night', 'Holi', 'Package', 'Delhi', 'to', 'Agra']"
ayodhya spiritual retreat: embracing divine serenity,spiritual packages,ayodhya,1,short trip,2,3,budget,low-cost apartment,11500.0,['ayodhya'],"['Ayodhya', 'Spiritual', 'Retreat', 'Embracing', 'Divine', 'Serenity']"
ayodhya ram janmabhoomi tour package,holiday_package,"lucknow ,   ayodhya",2,short trip,1,2,budget,low-cost apartment,9500.0,"['lucknow', 'ayodhya']","['Ayodhya', 'Ram', 'Janmabhoomi', 'Tour', 'Package']"
"religious uttar pradesh tour: kashi, ayodhya, lucknow & more",spiritual packages,"varanasi ,   allahabad ,   lucknow",3,medium trip,6,7,standard,3-star hotel,23000.0,"['varanasi', 'allahabad', 'lucknow']","['Religious', 'Uttar', 'Pradesh', 'Tour', 'Kashi', 'Ayodhya', 'Lucknow', 'More']"
stunning dehradun mussoorie tour package,holiday_package,"dehradun ,   mussoorie ,   dehradun",3,medium trip,3,4,budget,budget hotel,9700.0,"['dehradun', 'mussoorie', 'dehradun']","['Stunning', 'Dehradun', 'Mussoorie', 'Tour', 'Package']"
best uttarakhand tour packages with haridwar & mussoorie,spiritual packages,"delhi ,   haridwar ,  rishikesh ,  dehradun ,  mussoorie",5,medium trip,5,6,standard,3-star hotel,19999.0,"['delhi', 'haridwar', 'rishikesh', 'dehradun', 'mussoorie']","['Best', 'Uttarakhand', 'Tour', 'Packages', 'with', 'Haridwar', 'Mussoorie']"
"charming dehradun tour with mussoorie, haridwar & dhanaulti",spiritual packages,"dehradun ,   mussoorie ,   haridwar",3,medium trip,4,5,budget,budget hotel,11715.0,"['dehradun', 'mussoorie', 'haridwar']","['Charming', 'Dehradun', 'Tour', 'with', 'Mussoorie', 'Haridwar', 'Dhanaulti']"
best selling dehradun mussoorie package with rishikesh,holiday_package,"delhi ,   dehradun ,  mussoorie ,  rishikesh",4,medium trip,5,6,standard,3-star hotel,21000.0,"['delhi', 'dehradun', 'mussoorie', 'rishikesh']","['Best', 'Selling', 'Dehradun', 'Mussoorie', 'Package', 'with', 'Rishikesh']"
dehradun mussoorie family tour package,family_package,"delhi ,   dehradun ,   mussoorie",3,medium trip,4,5,standard,3-star hotel,20000.0,"['delhi', 'dehradun', 'mussoorie']","['Dehradun', 'Mussoorie', 'Family', 'Tour', 'Package']"
"dehradun sightseeing tour with shimla, rishikesh & more",holiday_package,"delhi ,   shimla ,   dehradun ,   rishikesh ,   haridwar",5,medium trip,6,7,premium,5-star hotel,42600.0,"['delhi', 'shimla', 'dehradun', 'rishikesh', 'haridwar']","['Dehradun', 'Sightseeing', 'Tour', 'with', 'Shimla', 'Rishikesh', 'More']"
classic dehradun mussoorie holiday package,holiday_package,"delhi ,   mussoorie ,  dehradun",3,medium trip,3,4,budget,budget hotel,9999.0,"['delhi', 'mussoorie', 'dehradun']","['Classic', 'Dehradun', 'Mussoorie', 'Holiday', 'Package']"
nag tibba trek from dehradun,holiday_package,"dehradun ,   nag tibba",3,short trip,1,2,budget,low-cost apartment,4000.0,"['dehradun', 'nag', 'tibba']","['Nag', 'Tibba', 'Trek', 'from', 'Dehradun']"
kedarnath and badrinath darshan via helicopter ex dehradun,spiritual packages,"dehradun ,   guptkashi ,   joshimath ,   badrinath ,   rudraprayag",5,medium trip,5,6,premium,5-star hotel,45000.0,"['dehradun', 'guptkashi', 'joshimath', 'badrinath', 'rudraprayag']","['Kedarnath', 'and', 'Badrinath', 'Darshan', 'via', 'Helicopter', 'Ex', 'Dehradun']"
kedarkantha trek package,holiday_package,"dehradun ,   sankri",2,medium trip,5,6,standard,3-star hotel,16450.0,"['dehradun', 'sankri']","['Kedarkantha', 'Trek', 'Package']"
"all in 1 package - rishikesh, dehra dun, mussourie and more",holiday_package,"dehradun  ,   mussoorie  ,   rishikesh  ,   haridwar  ,   jim corbett",6,long trip,8,9,premium,4-star hotel,34591.0,"['dehradun', 'mussoorie', 'rishikesh', 'haridwar', 'jim', 'corbett']","['All', 'in', '1', 'Package', 'Rishikesh', 'Dehra', 'Dun', 'Mussourie', 'and', 'More']"
dehradun mussoorie honeymoon package with camping in rishikesh,honeymoon_package,"delhi ,   dehradun ,  mussoorie ,  rishikesh",4,medium trip,5,6,standard,3-star hotel,21000.0,"['delhi', 'dehradun', 'mussoorie', 'rishikesh']","['Dehradun', 'Mussoorie', 'Honeymoon', 'Package', 'with', 'Camping', 'in', 'Rishikesh']"
love in dehradun mussoorie deluxe honeymoon package,honeymoon_package,"delhi ,   dehradun ,   mussoorie",3,medium trip,4,5,standard,3-star hotel,20000.0,"['delhi', 'dehradun', 'mussoorie']","['Love', 'in', 'Dehradun', 'Mussoorie', 'Deluxe', 'Honeymoon', 'Package']"
spiritual tour of uttarakhand,spiritual packages,"delhi ,   haridwar ,   guptakashi ,   kedarnath ,   rudraprayag ,   badrinath ,   joshimath ,   rishikesh",8,long trip,7,8,standard,standard hotel,23340.0,"['delhi', 'haridwar', 'guptakashi', 'kedarnath', 'rudraprayag', 'badrinath', 'joshimath', 'rishikesh']","['Spiritual', 'Tour', 'of', 'Uttarakhand']"
kedarnath-badrinath yatra,spiritual packages,"haridwar ,   guptkashi ,   kedarnath ,  guptkashi ,   badrinath ,  govindghat",6,medium trip,6,7,standard,3-star hotel,20500.0,"['haridwar', 'guptkashi', 'kedarnath', 'guptkashi', 'badrinath', 'govindghat']","['KedarnathBadrinath', 'Yatra']"
haridwar with char dham,spiritual packages,"delhi ,   haridwar ,   barkot ,   yamountri ,   uttarkashi ,   gangotri ,    guptakashi ,   badrinath ,   rudraprayag",9,long trip,9,10,luxury,5-star resort,52000.0,"['delhi', 'haridwar', 'barkot', 'yamountri', 'uttarkashi', 'gangotri', 'guptakashi', 'badrinath', 'rudraprayag']","['Haridwar', 'with', 'char', 'dham']"
special uttarakhand family tour package,family_package,"delhi ,   haridwar ,   mussoorie ,   jim corbett national park ,   nainital",8,medium trip,6,7,standard,3-star hotel,27157.0,"['delhi', 'haridwar', 'mussoorie', 'jim', 'corbett', 'national', 'park', 'nainital']","['Special', 'Uttarakhand', 'Family', 'Tour', 'Package']"
therapeutic haridwar and rishikesh ganges tour,spiritual packages,"delhi ,   haridwar ,  rishikesh",3,medium trip,3,4,budget,budget hotel,11900.0,"['delhi', 'haridwar', 'rishikesh']","['Therapeutic', 'Haridwar', 'and', 'Rishikesh', 'Ganges', 'Tour']"
charming dehradun mussoorie tour with dhanaulti & hardiwar,holiday_package,"dehradun ,   mussoorie ,   haridwar",3,medium trip,4,5,budget,budget hotel,11715.0,"['dehradun', 'mussoorie', 'haridwar']","['Charming', 'Dehradun', 'Mussoorie', 'Tour', 'with', 'Dhanaulti', 'Hardiwar']"
"best of uttarakhand tour package: corbett, nainital, kausani & more",holiday_package,"delhi ,   haridwar ,   jim corbett national park ,   nainital ,   kausani",8,long trip,7,8,budget,hostel room,13500.0,"['delhi', 'haridwar', 'jim', 'corbett', 'national', 'park', 'nainital', 'kausani']","['Best', 'of', 'Uttarakhand', 'Tour', 'Package', 'Corbett', 'Nainital', 'Kausani', 'More']"
elaborate haridwar rishikesh mussoorie and corbett tour,spiritual packages,"delhi  ,   haridwar ,  mussoorie ,  jim corbett national park",7,medium trip,4,5,standard,3-star hotel,16071.0,"['delhi', 'haridwar', 'mussoorie', 'jim', 'corbett', 'national', 'park']","['Elaborate', 'Haridwar', 'Rishikesh', 'Mussoorie', 'and', 'Corbett', 'Tour']"
nainital mussoorie jim corbett tour packages,holiday_package,"delhi ,   nainital ,   jim corbett national park ,   haridwar ,   mussoorie",8,long trip,7,8,standard,standard hotel,26000.0,"['delhi', 'nainital', 'jim', 'corbett', 'national', 'park', 'haridwar', 'mussoorie']","['Nainital', 'Mussoorie', 'Jim', 'Corbett', 'Tour', 'Packages']"
special family package to haridwar rishikesh and mussoorie,family_package,"delhi ,  haridwar ,  rishikesh ,  mussoorie",4,medium trip,4,5,premium,5-star hotel,35000.0,"['delhi', 'haridwar', 'rishikesh', 'mussoorie']","['Special', 'Family', 'Package', 'to', 'Haridwar', 'Rishikesh', 'and', 'Mussoorie']"
stunning naintal haridwar mussoorie tour,spiritual packages,"delhi ,   nainital ,  haridwar ,  mussoorie",4,medium trip,5,6,standard,3-star hotel,22500.0,"['delhi', 'nainital', 'haridwar', 'mussoorie']","['Stunning', 'Naintal', 'Haridwar', 'Mussoorie', 'Tour']"
remarkable haridwar rishikesh auli tour,spiritual packages,"dehradun ,   joshimath ,   haridwar",3,medium trip,4,5,budget,budget hotel,14500.0,"['dehradun', 'joshimath', 'haridwar']","['Remarkable', 'Haridwar', 'Rishikesh', 'Auli', 'Tour']"
rishikesh 3 days itinerary,holiday_package,"haridwar ,  rishikesh",2,short trip,2,3,budget,low-cost apartment,7000.0,"['haridwar', 'rishikesh']","['Rishikesh', '3', 'Days', 'Itinerary']"
kedarnath badrinath do dham package from haridwar,spiritual packages,"haridwar ,   guptakashi ,   kedarnath ,   rudraprayag ,   badrinath ,   rudraprayag",6,medium trip,5,6,premium,5-star hotel,38160.0,"['haridwar', 'guptakashi', 'kedarnath', 'rudraprayag', 'badrinath', 'rudraprayag']","['Kedarnath', 'Badrinath', 'Do', 'Dham', 'Package', 'from', 'Haridwar']"
"auli, rishikesh & haridwar tour from delhi",spiritual packages,"delhi ,   rishikesh ,   auli ,   haridwar",4,medium trip,4,5,standard,3-star hotel,15999.0,"['delhi', 'rishikesh', 'auli', 'haridwar']","['Auli', 'Rishikesh', 'Haridwar', 'Tour', 'from', 'Delhi']"
"best of shimla, dehradun, rishikesh & haridwar",spiritual packages,"delhi ,   shimla ,   dehradun ,   rishikesh ,   haridwar",5,medium trip,6,7,premium,5-star hotel,42600.0,"['delhi', 'shimla', 'dehradun', 'rishikesh', 'haridwar']","['Best', 'of', 'Shimla', 'Dehradun', 'Rishikesh', 'Haridwar']"
badrinath and rudraprayag yatra by cab,spiritual packages,"haridwar ,   rudraprayag ,   badrinath ,   rudraprayag",4,medium trip,3,4,budget,budget hotel,12000.0,"['haridwar', 'rudraprayag', 'badrinath', 'rudraprayag']","['Badrinath', 'and', 'Rudraprayag', 'Yatra', 'by', 'Cab']"
standard auli rishikesh tour package for couples,holiday_package,"haridwar ,   joshimath ,   auli ,   rishikesh",4,medium trip,5,6,standard,3-star hotel,20250.0,"['haridwar', 'joshimath', 'auli', 'rishikesh']","['Standard', 'Auli', 'Rishikesh', 'Tour', 'Package', 'for', 'Couples']"
"royal heritage tour to delhi, agra, jaipur and nainital",cultural_package,"delhi ,   haridwar ,   nainital ,   agra ,   jaipur",5,medium trip,6,7,standard,3-star hotel,21999.0,"['delhi', 'haridwar', 'nainital', 'agra', 'jaipur']","['Royal', 'Heritage', 'Tour', 'to', 'Delhi', 'Agra', 'Jaipur', 'and', 'Nainital']"
splendid haridwar to auli package,spiritual packages,"haridwar ,   auli",2,medium trip,4,5,standard,3-star hotel,17000.0,"['haridwar', 'auli']","['Splendid', 'Haridwar', 'to', 'Auli', 'Package']"
badrinath and joshimath yatra from haridwar,spiritual packages,"joshimath ,  badrinath ,  rudraprayag",3,medium trip,4,5,standard,3-star hotel,16000.0,"['joshimath', 'badrinath', 'rudraprayag']","['Badrinath', 'and', 'Joshimath', 'Yatra', 'from', 'Haridwar']"
uttarakhand religious tour package,spiritual packages,"mumbai ,   haridwar ,   barkot ,  yamunotri ,   uttarkashi ,   gangotri ,   guptkashi ,   badrinath ,   devprayag",9,long trip,10,11,luxury,5-star resort,61250.0,"['mumbai', 'haridwar', 'barkot', 'yamunotri', 'uttarkashi', 'gangotri', 'guptkashi', 'badrinath', 'devprayag']","['Uttarakhand', 'Religious', 'Tour', 'Package']"
memorable uttarakhand and delhi,holiday_package,"delhi ,   haridwar ,   mussoorie ,   nainital ,   corbett ,   delhi",6,long trip,8,9,premium,4-star hotel,31950.0,"['delhi', 'haridwar', 'mussoorie', 'nainital', 'corbett', 'delhi']","['Memorable', 'Uttarakhand', 'and', 'Delhi']"
auli tour package,holiday_package,"haridwar ,   auli ,   haridwar",3,medium trip,3,4,budget,budget hotel,12000.0,"['haridwar', 'auli', 'haridwar']","['Auli', 'Tour', 'Package']"
