package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
southern bengaluru mysore and ooty package,holiday_package,"bangalore ,  mysore ,  ooty ,   coimbatore(0n)",4,medium trip,4,5,budget,budget hotel,13900.0,"['bangalore', 'mysore', 'ooty', 'coimbatore0n']","['Southern', 'Bengaluru', 'Mysore', 'and', 'Ooty', 'Package']"
dreamy ooty & kodaikanal honeymoon package with mysore stay,honeymoon_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,standard,3-star hotel,18000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Dreamy', 'Ooty', 'Kodaikanal', 'Honeymoon', 'Package', 'with', 'Mysore', 'Stay']"
south india tour package for 7 days,holiday_package,"bengaluru (bangalore) ,   mysore ,   kodaikanal ,   ooty (udhagamandalam)",6,medium trip,6,7,premium,5-star hotel,34500.0,"['bengaluru', 'bangalore', 'mysore', 'kodaikanal', 'ooty', 'udhagamandalam']","['South', 'India', 'Tour', 'Package', 'for', '7', 'Days']"
"ooty honeymoon package with kodaikanal, mysore & more",honeymoon_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,budget,budget hotel,14000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Ooty', 'Honeymoon', 'Package', 'with', 'Kodaikanal', 'Mysore', 'More']"
"offbeat honeymoon tour package: chikmagalur, hampi & more with goa",offbeat_package,"bangalore ,   mysore ,   chikmagalur ,   hampi ,   goa",5,long trip,8,9,standard,standard hotel,22999.0,"['bangalore', 'mysore', 'chikmagalur', 'hampi', 'goa']","['Offbeat', 'Honeymoon', 'Tour', 'Package', 'Chikmagalur', 'Hampi', 'More', 'with', 'Goa']"
"karnataka honeymoon in bangalore, chikmagalur, kudremukh & more",honeymoon_package,"bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",5,long trip,8,9,standard,standard hotel,22999.0,"['bangalore', 'mysore', 'chikmagalur', 'kudremukh', 'mangalore']","['Karnataka', 'Honeymoon', 'in', 'Bangalore', 'Chikmagalur', 'Kudremukh', 'More']"
bangalore kodaikanal honeymoon special with ooty mysore,honeymoon_package,"bangalore ,  mysore ,  ooty ,  kodaikanal",4,medium trip,6,7,standard,3-star hotel,25335.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Bangalore', 'Kodaikanal', 'Honeymoon', 'Special', 'with', 'Ooty', 'Mysore']"
chikmagalur love story honeymoon package from bangalore,honeymoon_package,"bangalore ,   mysore ,   chikmagalur",3,medium trip,4,5,budget,budget hotel,12649.0,"['bangalore', 'mysore', 'chikmagalur']","['Chikmagalur', 'Love', 'Story', 'Honeymoon', 'Package', 'from', 'Bangalore']"
mystic kodaikanal 3-star honeymoon package from bangalore,honeymoon_package,"bangalore ,   mysore ,   kodaikanal",3,medium trip,4,5,budget,budget hotel,12649.0,"['bangalore', 'mysore', 'kodaikanal']","['Mystic', 'Kodaikanal', '3Star', 'Honeymoon', 'Package', 'from', 'Bangalore']"
nagarhole & bandipur wildlife honeymoon package from bangalore,nature_package,"bangalore ,   mysore ,   nagarhole ,   bandipur national park",6,medium trip,4,5,budget,budget hotel,15000.0,"['bangalore', 'mysore', 'nagarhole', 'bandipur', 'national', 'park']","['Nagarhole', 'Bandipur', 'Wildlife', 'Honeymoon', 'Package', 'from', 'Bangalore']"
